Topic,Characteristic,Note,Total,
Ethnic or cultural origin,  Paraguayan,,0,
Religion,Total - Religion for the population in private households - 25% sample data,161,712825,
Religion,  Buddhist,,14300,
Religion,  Christian,,355735,
Religion,"    Christian, n.o.s.",162,51655,
Religion,    Anabaptist,,325,
Religion,    Anglican,,14605,
Religion,    Baptist,,5865,
Religion,    Catholic,,216650,
Religion,    Christian Orthodox,,25625,
Religion,    Jehovah's Witness,,1905,
Religion,    Latter Day Saints,,370,
Religion,    Lutheran,,2235,
Religion,    Methodist and Wesleyan (Holiness),,955,
Religion,    Pentecostal and other Charismatic,,8315,
Religion,    Presbyterian,,5900,
Religion,    Reformed,,385,
Religion,    United Church,,10595,
Religion,    Other Christian and Christian-related traditions,,10350,
Religion,  Hindu,,62520,
Religion,  Jewish,,1380,
Religion,  Muslim,,120965,
Religion,  Sikh,,24505,
Religion,  Traditional (North American Indigenous) spirituality,,20,
Religion,  Other religions and spiritual traditions,,4465,
Religion,  No religion and secular perspectives,,128940,
Mobility status 1 year ago,Total - Mobility status 1 year ago - 25% sample data,163,707075,
Mobility status 1 year ago,  Non-movers,,633415,
Mobility status 1 year ago,  Movers,,73665,
Mobility status 1 year ago,    Non-migrants,,40870,
Mobility status 1 year ago,    Migrants,,32795,
Mobility status 1 year ago,      Internal migrants,,20565,
Mobility status 1 year ago,        Intraprovincial migrants,,18310,
Mobility status 1 year ago,        Interprovincial migrants,,2255,
Mobility status 1 year ago,      External migrants,,12230,
Mobility status 5 years ago,Total - Mobility status 5 years ago - 25% sample data,164,681500,
Mobility status 5 years ago,  Non-movers,,456750,
Mobility status 5 years ago,  Movers,,224750,
Mobility status 5 years ago,    Non-migrants,,95470,
Mobility status 5 years ago,    Migrants,,129280,
Mobility status 5 years ago,      Internal migrants,,66180,
Mobility status 5 years ago,        Intraprovincial migrants,,58050,
Mobility status 5 years ago,        Interprovincial migrants,,8130,
Mobility status 5 years ago,      External migrants,,63100,
Secondary (high) school diploma or equivalency certificate,Total - Secondary (high) school diploma or equivalency certificate for the population aged 15 years and over in private households - 25% sample data,165,603590,
Secondary (high) school diploma or equivalency certificate,  No high school diploma or equivalency certificate,,85715,
Secondary (high) school diploma or equivalency certificate,  With high school diploma or equivalency certificate,166,517875,
Secondary (high) school diploma or equivalency certificate,Total - Secondary (high) school diploma or equivalency certificate for the population aged 25 to 64 years in private households - 25% sample data,165,392425,
Secondary (high) school diploma or equivalency certificate,  No high school diploma or equivalency certificate,,31170,
Secondary (high) school diploma or equivalency certificate,  With high school diploma or equivalency certificate,166,361255,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households - 25% sample data",165,603595,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,80295,
"Highest certificate, diploma or degree",  High (secondary) school diploma or equivalency certificate,167,152265,
"Highest certificate, diploma or degree","  Postsecondary certificate, diploma or degree",,371030,
"Highest certificate, diploma or degree",    Postsecondary certificate or diploma below bachelor level,,140395,
"Highest certificate, diploma or degree",      Apprenticeship or trades certificate or diploma,,22470,
"Highest certificate, diploma or degree",        Non-apprenticeship trades certificate or diploma,168,12560,
"Highest certificate, diploma or degree",        Apprenticeship certificate,169,9915,
"Highest certificate, diploma or degree","      College, CEGEP or other non-university certificate or diploma",170,99290,
"Highest certificate, diploma or degree",      University certificate or diploma below bachelor level,,18635,
"Highest certificate, diploma or degree",    Bachelor's degree or higher,,230635,
"Highest certificate, diploma or degree",      Bachelor's degree,,150240,
"Highest certificate, diploma or degree",      University certificate or diploma above bachelor level,,14805,
"Highest certificate, diploma or degree","      Degree in medicine, dentistry, veterinary medicine or optometry",,6385,
"Highest certificate, diploma or degree",      Master's degree,,53970,
"Highest certificate, diploma or degree",      Earned doctorate,171,5235,
"Highest certificate, diploma or degree","Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households - 25% sample data",165,392425,
"Highest certificate, diploma or degree","  No certificate, diploma or degree",,28030,
"Highest certificate, diploma or degree",  High (secondary) school diploma or equivalency certificate,167,78470,
"Highest certificate, diploma or degree","  Postsecondary certificate, diploma or degree",,285925,
"Highest certificate, diploma or degree",    Postsecondary certificate or diploma below bachelor level,,100800,
"Highest certificate, diploma or degree",      Apprenticeship or trades certificate or diploma,,14275,
"Highest certificate, diploma or degree",        Non-apprenticeship trades certificate or diploma,168,7945,
"Highest certificate, diploma or degree",        Apprenticeship certificate,169,6335,
"Highest certificate, diploma or degree","      College, CEGEP or other non-university certificate or diploma",170,73650,
"Highest certificate, diploma or degree",      University certificate or diploma below bachelor level,,12870,
"Highest certificate, diploma or degree",    Bachelor's degree or higher,,185125,
"Highest certificate, diploma or degree",      Bachelor's degree,,117405,
"Highest certificate, diploma or degree",      University certificate or diploma above bachelor level,,11615,
"Highest certificate, diploma or degree","      Degree in medicine, dentistry, veterinary medicine or optometry",,5270,
"Highest certificate, diploma or degree",      Master's degree,,46915,
"Highest certificate, diploma or degree",      Earned doctorate,171,3925,
Major field of study - Classification of Instructional Programs (CIP) 2021,Total - Major field of study - Classification of Instructional Programs (CIP) 2021 for the population aged 15 years and over in private households - 25% sample data,172,603595,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  No postsecondary certificate, diploma or degree",173,232560,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Education,,16285,
Major field of study - Classification of Instructional Programs (CIP) 2021,    13. Education,,16285,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Visual and performing arts, and communications technologies",,11500,
Major field of study - Classification of Instructional Programs (CIP) 2021,    10. Communications technologies/technicians and support services,,1255,
Major field of study - Classification of Instructional Programs (CIP) 2021,    50. Visual and performing arts,,10245,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Humanities,,20955,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    16. Indigenous and foreign languages, literatures, and linguistics",,2275,
Major field of study - Classification of Instructional Programs (CIP) 2021,    23. English language and literature/letters,,5070,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    24. Liberal arts and sciences, general studies and humanities",,8405,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30A Interdisciplinary humanities,174,415,
Major field of study - Classification of Instructional Programs (CIP) 2021,    38. Philosophy and religious studies,,1165,
Major field of study - Classification of Instructional Programs (CIP) 2021,    39. Theology and religious vocations,,875,
Major field of study - Classification of Instructional Programs (CIP) 2021,    54. History,,2110,
Major field of study - Classification of Instructional Programs (CIP) 2021,    55. French language and literature/lettersCAN,,650,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Social and behavioural sciences and law,,45905,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    05. Area, ethnic, cultural, gender, and group studies",,460,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    09. Communication, journalism and related programs",,5165,
Major field of study - Classification of Instructional Programs (CIP) 2021,    19. Family and consumer sciences/human sciences,,6885,
Major field of study - Classification of Instructional Programs (CIP) 2021,    22. Legal professions and studies,,7270,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30B Interdisciplinary social and behavioural sciences,175,945,
Major field of study - Classification of Instructional Programs (CIP) 2021,    42. Psychology,,6385,
Major field of study - Classification of Instructional Programs (CIP) 2021,    45. Social sciences,,18800,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Business, management and public administration",,96290,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.16 Accounting and computer science,,120,
Major field of study - Classification of Instructional Programs (CIP) 2021,    44. Public administration and social service professions,,4050,
Major field of study - Classification of Instructional Programs (CIP) 2021,"    52. Business, management, marketing and related support services",,92115,
Major field of study - Classification of Instructional Programs (CIP) 2021,  Physical and life sciences and technologies,,20495,
Major field of study - Classification of Instructional Programs (CIP) 2021,    26. Biological and biomedical sciences,,8070,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30.01 Biological and physical sciences,,5710,
Major field of study - Classification of Instructional Programs (CIP) 2021,    30C Other interdisciplinary physical and life sciences,176,485,
Major field of study - Classification of Instructional Programs (CIP) 2021,    40. Physical sciences,,5500,
Major field of study - Classification of Instructional Programs (CIP) 2021,    41. Science technologies/technicians,,725,
Major field of study - Classification of Instructional Programs (CIP) 2021,"  Mathematics, computer and information sciences",,27715,
Major field of study - Classification of Instructional Programs (CIP) 2021,    11. Computer and information sciences and support services,,22495,
Major field of study - Classification of Instructional Programs (CIP) 2021,    25. Library science,,555,
